# Schwedisch — Sätze (vorn Schwedisch, hinten Deutsch)
Hur mår du?	Wie geht es dir?
Jag mår bra, tack.	Mir geht es gut, danke.
Vad heter du?	Wie heißt du?
Jag heter Daniel.	Ich heiße Daniel.
Varifrån kommer du?	Woher kommst du?
Jag kommer från Tyskland.	Ich komme aus Deutschland.
Talar du engelska?	Sprichst du Englisch?
Jag förstår inte.	Ich verstehe nicht.
Kan du upprepa det?	Kannst du das wiederholen?
Vad kostar det?	Was kostet das?
Var ligger toaletten?	Wo ist die Toilette?
Jag skulle vilja ha en kaffe.	Ich hätte gern einen Kaffee.
Vad är klockan?	Wie spät ist es?
Jag är hungrig.	Ich bin hungrig.
Det var gott.	Das war lecker.
Vi ses imorgon.	Wir sehen uns morgen.
Ha en trevlig dag!	Hab einen schönen Tag!
Ursäkta mig.	Entschuldigung.
Ingen fara.	Kein Problem.
Lycka till!	Viel Glück!
