# Schwedisch — Grundwortschatz (vorn Schwedisch, hinten Deutsch)
hej	hallo
tack	danke
ja	ja
nej	nein
kanske	vielleicht
hund	der Hund
katt	die Katze
hus	das Haus
bil	das Auto
vatten	das Wasser
mat	das Essen
kaffe	der Kaffee
öl	das Bier
bok	das Buch
vän	der Freund
dag	der Tag
natt	die Nacht
idag	heute
imorgon	morgen
igår	gestern
stor	groß
liten	klein
bra	gut
dålig	schlecht
varm	warm
kall	kalt
snabb	schnell
långsam	langsam
röd	rot
blå	blau
gul	gelb
grön	grün
en	eins
två	zwei
tre	drei
fyra	vier
fem	fünf
